branch_name,month,year,jumlah_pasien,avg_review,cogs,total_revenue,total_profit,score
RSMA,1,2024,6,3.0,56732879,70240000.0,13507121.0,0.20163696917617693
RSMD,1,2020,75,2.8620689655172415,553598336,603760000.0,50161664.0,0.47953739899962106
RSMD,2,2020,70,3.0,510963568,565160000.0,54196432.0,0.5245668710794231
RSMD,3,2020,60,3.5918367346938775,443160052,520660000.0,77499948.0,0.7704049615404442
RSMD,4,2020,80,2.857142857142857,679716216,767145000.0,87428784.0,0.6397863983236729
RSMD,5,2020,76,3.129032258064516,621122546,675680000.0,54557454.0,0.5797165264441863
RSMD,6,2020,83,3.1285714285714286,546104226,595805000.0,49700774.0,0.5776309692825942
RSMD,7,2020,64,2.8085106382978724,459840164,521335000.0,61494836.0,0.48135302100664734
RSMD,8,2020,86,2.7794117647058822,702682319,785025000.0,82342681.0,0.6111044754364428
RSMD,9,2020,77,2.6666666666666665,649257632,720790000.0,71532368.0,0.5114987521961742
RSMD,10,2020,55,2.9047619047619047,423360144,462465000.0,39104856.0,0.39806926439547974
RSMD,11,2020,73,2.6607142857142856,655450072,728755000.0,73304928.0,0.5068110597259525
RSMD,12,2020,67,2.98,493500681,499725000.0,6224319.0,0.31897573240052457
RSMD,1,2021,65,2.6458333333333335,480774242,543240000.0,62465758.0,0.4389447505842303
RSMD,2,2021,57,3.217391304347826,429238350,505605000.0,76366650.0,0.6460497042646589
RSMD,3,2021,64,2.9814814814814814,541258119,616790000.0,75531881.0,0.5894444544623914
RSMD,4,2021,86,3.3333333333333335,751037331,862720000.0,111682669.0,0.8947411766360646
RSMD,5,2021,68,3.1296296296296298,537156094,588685000.0,51528906.0,0.5477686686849782
RSMD,6,2021,79,2.7222222222222223,692494898,811100000.0,118605102.0,0.7216536705047856
RSMD,7,2021,68,2.8823529411764706,529427383,592800000.0,63372617.0,0.5210215751176208
RSMD,8,2021,69,2.8,528144679,594770000.0,66625321.0,0.5118439119551577
RSMD,9,2021,61,3.0816326530612246,458695557,478765000.0,20069443.0,0.38990032972791017
RSMD,10,2021,74,2.9655172413793105,640467850,698540000.0,58072150.0,0.5397428691904508
RSMD,11,2021,68,2.8181818181818183,548562570,611795000.0,63232430.0,0.5012117012687629
RSMD,12,2021,69,3.4038461538461537,530652938,635310000.0,104657062.0,0.8452596996661201
RSMD,1,2022,58,3.1914893617021276,472275969,519030000.0,46754031.0,0.5222041221263674
RSMD,2,2022,62,2.9361702127659575,346059303,365605000.0,19545697.0,0.34667075161973715
RSMD,3,2022,72,2.727272727272727,560174562,637365000.0,77190438.0,0.5398342093739966
RSMD,4,2022,62,3.06,482888515,539530000.0,56641485.0,0.5323548347056295
RSMD,5,2022,77,2.732142857142857,678719358,776920000.0,98200642.0,0.6379250044757476
RSMD,6,2022,63,3.3454545454545452,424374485,477615000.0,53240515.0,0.6068604053111425
RSMD,7,2022,66,3.2982456140350878,493960592,571575000.0,77614408.0,0.6977987884240939
RSMD,8,2022,64,3.2708333333333335,527847882,617960000.0,90112118.0,0.7346201746512269
RSMD,9,2022,57,2.6222222222222222,430177509,503125000.0,72947491.0,0.45383385903861184
RSMD,10,2022,65,2.857142857142857,519059905,547555000.0,28495095.0,0.36630156762534954
RSMD,11,2022,67,3.1578947368421053,439332455,490790000.0,51457545.0,0.5534612181376786
RSMD,12,2022,57,3.489795918367347,435675604,480630000.0,44954396.0,0.6019768691178824
RSMD,1,2023,67,2.8181818181818183,584607168,655000000.0,70392832.0,0.5273836931697269
RSMD,2,2023,52,3.1794871794871793,409313612,482500000.0,73186388.0,0.6094455812996682
RSMD,3,2023,57,3.522727272727273,371264234,398425000.0,27160766.0,0.5406048113635054
RSMD,4,2023,58,3.125,428552698,451165000.0,22612302.0,0.40559086372771447
RSMD,5,2023,55,3.106382978723404,413480813,457355000.0,43874187.0,0.4776443324344939
RSMD,6,2023,71,2.830188679245283,536739881,613780000.0,77040119.0,0.5676025810720161
RSMD,7,2023,54,3.159090909090909,402858455,430910000.0,28051545.0,0.4275966982829982
RSMD,8,2023,53,3.175,409219963,450960000.0,41740037.0,0.48468078262194836
RSMD,9,2023,60,3.3125,496070838,562235000.0,66164162.0,0.6412249098386215
RSMD,10,2023,49,2.697674418604651,348920409,406075000.0,57154591.0,0.3932276043942857
RSMD,11,2023,57,2.45,457078952,510635000.0,53556048.0,0.32452666669549945
RSMD,12,2023,64,3.1818181818181817,471950214,520930000.0,48979786.0,0.5432156556355867
RSMD,1,2024,8,3.142857142857143,61559477,79725000.0,18165523.0,0.26814124065292394
RSMS,1,2020,64,3.44,462543938,509705000.0,47161062.0,0.6133762985517011
RSMS,2,2020,65,2.759259259259259,520278947,578700000.0,58421053.0,0.45677158577637167
RSMS,3,2020,72,3.2857142857142856,516649700,587590000.0,70940300.0,0.682315185466971
RSMS,4,2020,84,2.6666666666666665,665694365,730335000.0,64640635.0,0.5014025763446499
RSMS,5,2020,79,3.196969696969697,558903186,618565000.0,59661814.0,0.6280338869736942
RSMS,6,2020,74,3.1052631578947367,593502653,709735000.0,116232347.0,0.81454811422002
RSMS,7,2020,74,2.9322033898305087,554570355,604910000.0,50339645.0,0.4987873388684639
RSMS,8,2020,81,2.9846153846153847,608922601,690350000.0,81427399.0,0.6564915769605386
RSMS,9,2020,73,3.0535714285714284,554845089,608190000.0,53344911.0,0.5447262599395322
RSMS,10,2020,66,3.2142857142857144,462088640,517825000.0,55736360.0,0.5850094620480419
RSMS,11,2020,64,2.82,403187144,441995000.0,38807856.0,0.39395513894844336
RSMS,12,2020,57,3.269230769230769,520486164,579870000.0,59383836.0,0.5935959574568678
RSMS,1,2021,68,3.2586206896551726,481445318,555360000.0,73914682.0,0.6760984405922599
RSMS,2,2021,64,2.9056603773584904,552715718,626820000.0,74104282.0,0.5609849847697748
RSMS,3,2021,64,3.0869565217391304,467012405,530570000.0,63557595.0,0.5731343998335703
RSMS,4,2021,71,3.0545454545454547,513073007,611130000.0,98056993.0,0.7190564809634012
RSMS,5,2021,72,2.9833333333333334,492266517,560240000.0,67973483.0,0.5797342643182936
RSMS,6,2021,73,2.8181818181818183,619699854,692490000.0,72790146.0,0.5519831217481878
RSMS,7,2021,59,2.8333333333333335,459251681,527515000.0,68263319.0,0.5034013969968277
RSMS,8,2021,67,3.1176470588235294,530236023,597735000.0,67498977.0,0.6056224715609938
RSMS,9,2021,68,2.759259259259259,480795228,539320000.0,58524772.0,0.46468690188962564
RSMS,10,2021,55,2.652173913043478,405476474,474780000.0,69303526.0,0.44322673411344127
RSMS,11,2021,51,2.775,423087938,451140000.0,28052062.0,0.3048882902798731
RSMS,12,2021,66,3.125,479313670,512980000.0,33666330.0,0.46985388154277985
RSMS,1,2022,69,3.086206896551724,497453485,547405000.0,49951515.0,0.5309274900581191
RSMS,2,2022,58,3.239130434782609,471385291,529585000.0,58199709.0,0.5823256406379757
RSMS,3,2022,67,3.188679245283019,444887187,507715000.0,62827813.0,0.60822454432851
RSMS,4,2022,56,2.5869565217391304,462460216,541880000.0,79419784.0,0.4666723269326821
RSMS,5,2022,67,2.6724137931034484,548135421,638280000.0,90144579.0,0.5627504604612137
RSMS,6,2022,59,2.9444444444444446,415815656,450705000.0,34889344.0,0.40309235538466454
RSMS,7,2022,73,3.0,551520495,604790000.0,53269505.0,0.5283552298284453
RSMS,8,2022,66,3.017543859649123,539334612,591130000.0,51795388.0,0.5102148974557443
RSMS,9,2022,64,3.292682926829268,488476694,545635000.0,57158306.0,0.6092190156379377
RSMS,10,2022,65,2.7916666666666665,462600352,533645000.0,71044648.0,0.5170403369669551
RSMS,11,2022,47,3.108108108108108,379927486,418715000.0,38787514.0,0.43779351941963707
RSMS,12,2022,69,3.2666666666666666,456831916,471050000.0,14218084.0,0.44197217791421617
RSMS,1,2023,55,2.425,417469331,478475000.0,61005669.0,0.3418578549813094
RSMS,2,2023,69,2.8653846153846154,546862400,587060000.0,40197600.0,0.42563341223632256
RSMS,3,2023,70,3.0392156862745097,525514524,599530000.0,74015476.0,0.6156901368521074
RSMS,4,2023,59,3.061224489795918,423719545,511235000.0,87515455.0,0.6488490163407381
RSMS,5,2023,64,3.109090909090909,512882833,591800000.0,78917167.0,0.6412772118344967
RSMS,6,2023,67,2.7586206896551726,519595347,571970000.0,52374653.0,0.43736878598658846
RSMS,7,2023,66,3.519230769230769,471991360,522355000.0,50363640.0,0.6549659664974922
RSMS,8,2023,67,3.1636363636363636,478400397,534805000.0,56404603.0,0.5749926790877014
RSMS,9,2023,78,3.34375,630927443,716995000.0,86067557.0,0.7752965799603746
RSMS,10,2023,72,3.1551724137931036,502854190,545850000.0,42995810.0,0.5312617943799922
RSMS,11,2023,59,2.7916666666666665,409660260,433070000.0,23409740.0,0.3112985746498158
RSMS,12,2023,79,2.983050847457627,603039152,685390000.0,82350848.0,0.6547199987159308
RSMS,1,2024,8,2.857142857142857,83245482,101700000.0,18454518.0,0.18359665421057114
